Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
Public Method,(unnamed_function_3).queue,1,,,,,,,,,,
Public Method,(unnamed_function_3).queue,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).queue.(unnamed_function_102),1,,,,,,,,,,
Public Method,(unnamed_function_3).ready,1,,,,,,,,,,
Public Method,(unnamed_function_3).remove,1,,,,,,,,,,
Public Method,(unnamed_function_3).removeAttr,1,,,,,,,,,,
Public Method,(unnamed_function_3).removeAttr,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).removeAttr.(unnamed_function_151),1,,,,,,,,,,
Public Method,(unnamed_function_3).removeClass,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).removeClass.(unnamed_function_157),1,,,,,,,,,,
Public Method,(unnamed_function_3).removeData,1,,,,,,,,,,
Public Method,(unnamed_function_3).removeData,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).removeData.(unnamed_function_99),1,,,,,,,,,,
Public Method,(unnamed_function_3).removeProp,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).removeProp.(unnamed_function_154),1,,,,,,,,,,
Public Method,(unnamed_function_3).replaceWith,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).replaceWith.(unnamed_function_123),1,,,,,,,,,,
Function,(unnamed_function_3).se,1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).se.s.(unnamed_function_104),1,,,,,,,,,,
Unnamed Function,(unnamed_function_3).se.s.(unnamed_function_105),1,,,,,,,,,,
Public Method,(unnamed_function_3).serialize,1,,,,,,,,,,
Public Method,(unnamed_function_3).serializeArray,1,,,,,,,,,,
