Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"Converter.java",79,7,,,,,3,,4,2,
File,"Converter.java",69,4,,,,,0,,7,0,
File,"ConverterSample1.java",18,1,,,,,5,,5,0,
Public Class,"ConverterSample2",16,1,1,2,0,5,5,2,5,0,0
File,"ConverterSample2.java",17,1,,,,,5,,5,0,
Protected Method,"ConverterSample2.setUp",4,,,,,,,,,,
Protected Method,"ConverterSample2.tearDown",4,,,,,,,,,,
Public Final Method,"ConverterSample2.testClassJunit",2,,,,,,,,,,
Public Final Method,"ConverterSample2.testSetClassId",2,,,,,,,,,,
Public Final Method,"ConverterSample2.testSetClassName",2,,,,,,,,,,
File,"ConverterSample3.java",27,1,,,,,10,,10,0,
Public Class,"ConverterSample4",21,1,1,1,0,8,8,1,8,0,0
Public Method,"ConverterSample4.afterMethod",2,,,,,,,,,,
Public Method,"ConverterSample4.beforeSuiteAlwaysRun",2,,,,,,,,,,
Public Method,"ConverterSample4.dataProvider",3,,,,,,,,,,
Public Method,"ConverterSample4.expectedExceptions",2,,,,,,,,,,
Public Method,"ConverterSample4.factory",4,,,,,,,,,,
File,"ConverterSample4.java",21,1,,,,,8,,8,0,
Public Method,"ConverterSample4.plainTest",2,,,,,,,,,,
Public Method,"ConverterSample4.testEverything",2,,,,,,,,,,
Public Method,"ConverterSample4.testGroups",2,,,,,,,,,,
File,"CountCalls.java",10,1,,,,,0,,2,0,
File,"CountDownAdapter.java",21,1,,,,,4,,4,1,
File,"CountSampleTest.java",17,1,,,,,1,,3,0,
File,"CountTest.java",30,3,,,,,2,,2,0,
File,"CreateDataTest.java",15,1,,,,,2,,2,0,
File,"CtorCalledOnce.java",25,1,,,,,5,,5,0,
File,"CustomFactoryTest.java",58,1,,,,,6,,6,0,
File,"DChild_2.java",26,2,,,,,3,,4,0,
File,"DPClass.java",11,1,,,,,0,,1,0,
File,"Data.java",5,0,,,,,0,,0,1,
File,"DataDrivenTest.java",32,3,,,,,2,,2,0,
File,"DataProvider.java",10,0,,,,,2,,2,0,
File,"DataProviderAnnotation.java",25,1,,,,,4,,4,2,
File,"DataProviderAsTest.java",12,1,,,,,2,,2,0,
File,"DataProviderBase.java",16,1,,,,,2,,2,0,
File,"DataProviderFalseFalseTest.java",13,1,,,,,2,,2,0,
File,"DataProviderFalseTrueTest.java",13,1,,,,,2,,2,0,
File,"DataProviderHolder.java",12,1,,,,,1,,1,2,
File,"DataProviderThreadPoolSizeSampleTest.java",56,1,,,,,6,,6,0,
File,"DataProviderThreadPoolSizeTest.java",29,1,,,,,3,,3,0,
File,"DataProviderTransformer.java",27,1,,,,,4,,4,0,
File,"DataProviderTrueFalseTest.java",13,1,,,,,2,,2,0,
File,"DataProviderTrueTrueTest.java",13,1,,,,,2,,2,0,
File,"DefaultAnnotationTransformer.java",14,1,,,,,1,,1,0,
File,"DefaultInstanceFactory.java",132,11,,,,,1,,4,0,
File,"DefaultMastertAdapter.java",59,6,,,,,3,,3,3,
File,"DefaultMethodSelectorContext.java",20,1,,,,,3,,3,2,
File,"DefaultTestContext.java",56,1,,,,,17,,17,0,
File,"DefaultWorkerAdapter.java",64,3,,,,,3,,5,2,
File,"Demo.java",47,2,,,,,7,,7,0,
File,"DepBugSampleTest.java",37,1,,,,,5,,8,0,
File,"DepBugVerifyTest.java",16,2,,,,,1,,1,0,
File,"DependentAlwaysRunTest.java",53,1,,,,,3,,3,0,
File,"DependentOnGroup1AlwaysRunSampleTest.java",18,1,,,,,3,,3,1,
File,"DependentOnGroup2AlwaysRunSampleTest.java",21,1,,,,,4,,4,1,
File,"DependentOnMethod1AlwaysRunSampleTest.java",18,1,,,,,3,,3,1,
File,"DependentSampleTest.java",18,2,,,,,3,,3,0,
File,"DependentTest.java",80,1,,,,,6,,6,0,
File,"DependentTest.java",11,1,,,,,2,,2,0,
File,"DependsOnGroupsTest.java",27,2,,,,,1,,1,0,
File,"DependsOnProtectedMethodTest.java",20,1,,,,,3,,3,2,
File,"DepthDependencyTest.java",14,1,,,,,3,,3,0,
File,"Derived.java",12,1,,,,,2,,2,0,
File,"DifferentClassDependsOnGroupsTest1.java",12,1,,,,,2,,2,0,
File,"DifferentClassDependsOnGroupsTest2.java",7,1,,,,,1,,1,0,
File,"DistributedTest.java",137,4,,,,,11,,11,2,
File,"DistributedTest.java",141,4,,,,,11,,11,2,
