Kind,Name,CountLineCode,MaxCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclInstanceMethod,MaxInheritanceTree,CountDeclMethod,CountDeclInstanceVariable,PercentLackOfCohesion
File,"Bug90Test.java",24,1,,,,,1,,1,0,
File,"Bug92Test.java",24,1,,,,,1,,1,0,
File,"BugBase.java",19,1,,,,,3,,3,0,
File,"C.java",10,1,,,,,2,,2,0,
File,"C.java",50,1,,,,,22,,22,0,
File,"C.java",9,1,,,,,1,,2,0,
File,"C.java",10,1,,,,,3,,3,0,
File,"C.java",19,1,,,,,2,,3,0,
File,"C.java",18,1,,,,,5,,5,0,
File,"C1.java",9,1,,,,,1,,1,0,
File,"C2.java",9,1,,,,,1,,1,0,
File,"CRUDTest.java",8,0,,,,,2,,2,0,
File,"CRUDTest2.java",7,1,,,,,2,,2,0,
File,"CalculatorTestSample.java",30,1,,,,,4,,4,0,
File,"CallHolder.java",15,1,,,,,0,,3,0,
File,"Captor.java",23,2,,,,,2,,4,1,
File,"Car.java",5,1,,,,,1,,1,0,
File,"CheckCount.java",13,1,,,,,1,,1,0,
File,"CheckSuiteNamesTest.java",69,1,,,,,4,,4,0,
File,"CheckSuitesInitializationTest.java",18,1,,,,,1,,1,0,
File,"CheckTestNamesTest.java",70,2,,,,,6,,6,0,
File,"Child.java",10,1,,,,,2,,2,0,
File,"Child1.java",12,1,,,,,2,,2,0,
File,"Child1Test.java",8,1,,,,,3,,3,0,
File,"Child2.java",8,1,,,,,1,,1,0,
File,"Child2Test.java",8,1,,,,,3,,3,0,
File,"ChildClassA.java",6,1,,,,,1,,1,0,
File,"ChildClassB.java",6,1,,,,,1,,1,0,
File,"ChildClassC.java",6,1,,,,,1,,1,0,
File,"ChildClassD.java",6,1,,,,,1,,1,0,
File,"ChildClassE.java",6,1,,,,,1,,1,0,
File,"ChildClassExample.java",4,0,,,,,0,,0,0,
File,"ChildClassF.java",6,1,,,,,1,,1,0,
File,"ChildClassHasFullDefinitionOfDataProviderAtClassLevel.java",6,0,,,,,0,,0,0,
File,"ChildClassHasPartialDefinitionOfDataProviderAtClassLevel.java",6,0,,,,,0,,0,0,
File,"ChildClassSample.java",5,1,,,,,1,,1,0,
File,"ChildClassSample.java",23,1,,,,,3,,3,0,
File,"ChildClassSample.java",9,1,,,,,1,,1,0,
File,"ChildClassSample.java",13,1,,,,,2,,2,0,
File,"ChildClassTestSample.java",7,1,,,,,1,,1,0,
File,"ChildClassTestSample1.java",8,1,,,,,1,,1,0,
File,"ChildClassTestSample2.java",8,1,,,,,1,,1,0,
File,"ChildClassWithAlwasyRunEnabledSample.java",9,1,,,,,1,,1,0,
File,"ChildClassWithNoDataProviderInformationInTestMethod.java",9,1,,,,,1,,1,0,
File,"ChildFactory.java",2,0,,,,,0,,0,0,
File,"ChildSample.java",6,1,,,,,1,,1,0,
File,"ChildSampleTest3.java",13,1,,,,,2,,2,0,
File,"ChildTest.java",6,1,,,,,1,,1,0,
File,"ChildTest.java",13,1,,,,,2,,2,0,
File,"ChildTest.java",13,1,,,,,3,,3,0,
File,"Child_1.java",13,1,,,,,2,,2,0,
File,"ChronologicalPanel.java",85,14,,,,,6,,6,0,
File,"Chuck3Sample.java",14,1,,,,,1,,3,0,
File,"Chuck4Sample.java",14,1,,,,,1,,3,0,
File,"Class1.java",19,1,,,,,6,,6,0,
